Student_ID,Subject,Current_Topic,Score,Skill_Level,Next_Recommended_Topic
1,OS,Deadlocks,12,beginner,Scheduling
2,OS,Processes,74,advanced,Threads
3,Data Structures,Graph,36,beginner,Heap
4,AI/ML,KNN,99,advanced,Neural Networks
5,OS,Threads,12,beginner,Processes
6,DSA,Arrays,58,intermediate,Linked List
7,Python,Modules,46,intermediate,Error Handling
8,Python,Loops,48,intermediate,Functions
9,Python,File Handling,93,advanced,Modules
10,DSA,Graphs,3,beginner,Trees
11,Java,Variables,8,beginner,Variables
12,Data Structures,Linked List,79,advanced,Stack
13,Java,OOP Concepts,94,advanced,Collections
14,OS,Virtual Memory,3,beginner,Deadlocks
15,OS,Memory Management,96,advanced,File Systems
16,OOP,Classes,50,intermediate,Objects
17,OOP,Polymorphism,21,beginner,Inheritance
18,Data Structures,Hash Table,12,beginner,Queue
19,Java,Exceptions,84,advanced,Streams
20,Data Structures,Stack,14,beginner,Linked List
21,OOP,Objects,57,intermediate,Inheritance
22,Data Structures,Hash Table,96,advanced,Heap
23,Python,Modules,28,beginner,File Handling
24,OOP,Classes,29,beginner,Classes
25,AI/ML,Neural Networks,20,beginner,KNN
26,OS,Deadlocks,74,advanced,Virtual Memory
27,AI/ML,Decision Trees,82,advanced,SVM
28,OS,File Systems,80,advanced,Scheduling
29,Python,Loops,43,intermediate,Functions
30,OS,File Systems,5,beginner,Memory Management
31,Data Structures,Queue,76,advanced,Hash Table
32,DSA,Sorting Algorithms,83,advanced,Sorting Algorithms
33,AI/ML,Logistic Regression,3,beginner,Linear Regression
34,Java,Exceptions,30,beginner,Collections
35,Java,Exceptions,31,beginner,Collections
36,Data Structures,Linked List,67,intermediate,Stack
37,Data Structures,Hash Table,6,beginner,Queue
38,Python,OOP Basics,86,advanced,File Handling
39,DSA,Sorting Algorithms,3,beginner,Graphs
40,OS,Scheduling,38,beginner,File Systems
41,Java,Loops,51,intermediate,Methods
42,OS,Processes,37,beginner,Processes
43,Java,Exceptions,40,beginner,Collections
44,AI/ML,Neural Networks,87,advanced,Clustering
45,OOP,Polymorphism,25,beginner,Inheritance
46,OOP,Inheritance,53,intermediate,Polymorphism
47,Java,Collections,63,intermediate,Exceptions
48,Python,Modules,48,intermediate,Error Handling
49,DSA,Graphs,55,intermediate,Sorting Algorithms
50,OS,Processes,31,beginner,Processes
51,Data Structures,Heap,27,beginner,Hash Table
52,Python,Functions,14,beginner,Loops
53,AI/ML,Decision Trees,10,beginner,Logistic Regression
54,AI/ML,Decision Trees,30,beginner,Logistic Regression
55,OOP,Objects,48,intermediate,Inheritance
56,OS,Processes,6,beginner,Processes
57,DSA,Trees,75,advanced,Graphs
58,DSA,Queues,15,beginner,Stacks
59,Python,Variables,95,advanced,Loops
60,DSA,Trees,97,advanced,Graphs
61,Data Structures,Heap,86,advanced,Graph
62,Python,OOP Basics,28,beginner,Functions
63,AI/ML,Logistic Regression,44,intermediate,Decision Trees
64,OOP,Objects,32,beginner,Classes
65,OOP,Interfaces,18,beginner,Abstraction
66,OOP,Encapsulation,56,intermediate,Abstraction
67,DSA,Stacks,51,intermediate,Queues
68,AI/ML,Decision Trees,84,advanced,SVM
69,AI/ML,Decision Trees,42,intermediate,SVM
70,AI/ML,Neural Networks,100,advanced,Clustering
71,Python,Functions,89,advanced,OOP Basics
72,OS,Deadlocks,42,intermediate,Virtual Memory
73,AI/ML,Logistic Regression,37,beginner,Linear Regression
74,AI/ML,Decision Trees,73,advanced,SVM
75,DSA,Trees,21,beginner,Queues
76,Python,Modules,13,beginner,File Handling
77,Python,Loops,83,advanced,Functions
78,Data Structures,Linked List,18,beginner,Arrays
79,AI/ML,KNN,75,advanced,Neural Networks
80,AI/ML,KNN,47,intermediate,Neural Networks
81,OS,Processes,71,advanced,Threads
82,OS,Virtual Memory,87,advanced,Virtual Memory
83,AI/ML,KNN,2,beginner,SVM
84,DSA,Arrays,86,advanced,Linked List
85,OS,Threads,45,intermediate,Memory Management
86,OOP,Abstraction,56,intermediate,Interfaces
87,DSA,Trees,36,beginner,Queues
88,Java,Methods,75,advanced,OOP Concepts
89,OS,Deadlocks,34,beginner,Scheduling
90,AI/ML,Clustering,52,intermediate,Clustering
91,OS,Processes,30,beginner,Processes
92,AI/ML,SVM,100,advanced,KNN
93,Python,Loops,42,intermediate,Functions
94,DSA,Linked List,41,intermediate,Stacks
95,Python,Modules,5,beginner,File Handling
96,Python,Loops,99,advanced,Functions
97,OOP,Abstraction,79,advanced,Interfaces
98,Python,Modules,95,advanced,Error Handling
99,Java,Variables,92,advanced,Loops
100,DSA,Linked List,49,intermediate,Stacks
101,OOP,Objects,62,intermediate,Inheritance
102,AI/ML,Logistic Regression,83,advanced,Decision Trees
103,OOP,Polymorphism,90,advanced,Encapsulation
104,Data Structures,Queue,86,advanced,Hash Table
105,AI/ML,Decision Trees,25,beginner,Logistic Regression
106,Java,Exceptions,15,beginner,Collections
107,OS,File Systems,53,intermediate,Scheduling
108,OS,Threads,93,advanced,Memory Management
109,Data Structures,Heap,83,advanced,Graph
110,Python,Variables,15,beginner,Variables
111,OS,Scheduling,97,advanced,Deadlocks
112,AI/ML,Decision Trees,26,beginner,Logistic Regression
113,OS,Processes,42,intermediate,Threads
114,OOP,Objects,34,beginner,Classes
115,OS,Threads,59,intermediate,Memory Management
116,OOP,Abstraction,26,beginner,Encapsulation
117,Data Structures,Arrays,32,beginner,Arrays
118,Data Structures,Hash Table,80,advanced,Heap
119,DSA,Stacks,23,beginner,Linked List
120,AI/ML,KNN,28,beginner,SVM
121,DSA,Stacks,14,beginner,Linked List
122,AI/ML,KNN,1,beginner,SVM
123,Python,Error Handling,40,beginner,Modules
124,DSA,Stacks,17,beginner,Linked List
125,OS,Virtual Memory,85,advanced,Virtual Memory
126,OS,Deadlocks,21,beginner,Scheduling
127,AI/ML,Neural Networks,78,advanced,Clustering
128,Data Structures,Stack,60,intermediate,Queue
129,DSA,Arrays,87,advanced,Linked List
130,Java,OOP Concepts,76,advanced,Collections
131,OS,Memory Management,84,advanced,File Systems
132,Data Structures,Hash Table,33,beginner,Queue
133,OOP,Encapsulation,82,advanced,Abstraction
134,OOP,Inheritance,17,beginner,Objects
135,Java,Collections,78,advanced,Exceptions
136,AI/ML,Neural Networks,79,advanced,Clustering
137,Java,OOP Concepts,71,advanced,Collections
138,Data Structures,Queue,75,advanced,Hash Table
139,DSA,Stacks,16,beginner,Linked List
140,OS,Processes,87,advanced,Threads
141,Python,File Handling,35,beginner,OOP Basics
142,Java,Methods,62,intermediate,OOP Concepts
143,Python,OOP Basics,48,intermediate,File Handling
144,OOP,Polymorphism,2,beginner,Inheritance
145,OS,Virtual Memory,39,beginner,Deadlocks
146,Python,Error Handling,84,advanced,Error Handling
147,DSA,Queues,20,beginner,Stacks
148,Data Structures,Hash Table,4,beginner,Queue
149,AI/ML,Clustering,54,intermediate,Clustering
150,DSA,Graphs,11,beginner,Trees
151,DSA,Graphs,100,advanced,Sorting Algorithms
152,Java,Collections,34,beginner,OOP Concepts
153,OS,Memory Management,22,beginner,Threads
154,Data Structures,Stack,52,intermediate,Queue
155,Python,Modules,10,beginner,File Handling
156,AI/ML,KNN,94,advanced,Neural Networks
157,AI/ML,SVM,66,intermediate,KNN
158,OS,Virtual Memory,41,intermediate,Virtual Memory
159,Java,Methods,99,advanced,OOP Concepts
160,Java,Methods,100,advanced,OOP Concepts
161,Java,Collections,20,beginner,OOP Concepts
162,DSA,Linked List,20,beginner,Arrays
163,OOP,Abstraction,43,intermediate,Interfaces
164,OS,Deadlocks,84,advanced,Virtual Memory
165,Java,Collections,51,intermediate,Exceptions
166,DSA,Stacks,11,beginner,Linked List
167,OOP,Interfaces,2,beginner,Abstraction
168,AI/ML,Decision Trees,19,beginner,Logistic Regression
169,Data Structures,Graph,30,beginner,Heap
170,Data Structures,Stack,17,beginner,Linked List
171,Data Structures,Arrays,68,intermediate,Linked List
172,OOP,Interfaces,38,beginner,Abstraction
173,Java,Methods,69,intermediate,OOP Concepts
174,Data Structures,Hash Table,50,intermediate,Heap
175,Python,Error Handling,83,advanced,Error Handling
176,OOP,Classes,82,advanced,Objects
177,Java,Exceptions,84,advanced,Streams
178,DSA,Queues,52,intermediate,Trees
179,Java,Methods,64,intermediate,OOP Concepts
180,OOP,Objects,98,advanced,Inheritance
181,DSA,Stacks,81,advanced,Queues
182,DSA,Sorting Algorithms,37,beginner,Graphs
183,OOP,Objects,14,beginner,Classes
184,Python,Functions,78,advanced,OOP Basics
185,AI/ML,SVM,96,advanced,KNN
186,OS,Scheduling,38,beginner,File Systems
187,OS,Deadlocks,88,advanced,Virtual Memory
188,OOP,Polymorphism,18,beginner,Inheritance
189,Data Structures,Graph,15,beginner,Heap
190,AI/ML,Linear Regression,68,intermediate,Logistic Regression
191,DSA,Graphs,87,advanced,Sorting Algorithms
192,OOP,Encapsulation,83,advanced,Abstraction
193,OS,File Systems,47,intermediate,Scheduling
194,Data Structures,Linked List,2,beginner,Arrays
195,Java,Exceptions,37,beginner,Collections
196,DSA,Trees,97,advanced,Graphs
197,DSA,Graphs,16,beginner,Trees
198,OS,Deadlocks,5,beginner,Scheduling
199,OS,Processes,14,beginner,Processes
200,AI/ML,KNN,11,beginner,SVM
201,Python,Modules,77,advanced,Error Handling
202,OOP,Abstraction,57,intermediate,Interfaces
203,Data Structures,Linked List,93,advanced,Stack
204,Python,Loops,6,beginner,Variables
205,Data Structures,Graph,20,beginner,Heap
206,DSA,Arrays,56,intermediate,Linked List
207,Python,Variables,15,beginner,Variables
208,DSA,Trees,62,intermediate,Graphs
209,OOP,Objects,63,intermediate,Inheritance
210,Data Structures,Arrays,42,intermediate,Linked List
211,Python,Loops,59,intermediate,Functions
212,AI/ML,Logistic Regression,34,beginner,Linear Regression
213,OOP,Polymorphism,98,advanced,Encapsulation
214,OS,Scheduling,12,beginner,File Systems
215,Data Structures,Arrays,66,intermediate,Linked List
216,OS,Scheduling,31,beginner,File Systems
217,OOP,Objects,28,beginner,Classes
218,OOP,Inheritance,96,advanced,Polymorphism
219,Python,Variables,80,advanced,Loops
220,AI/ML,SVM,58,intermediate,KNN
221,Java,Variables,100,advanced,Loops
222,DSA,Trees,16,beginner,Queues
223,AI/ML,KNN,96,advanced,Neural Networks
224,OOP,Abstraction,43,intermediate,Interfaces
225,Java,Methods,67,intermediate,OOP Concepts
226,OS,Deadlocks,25,beginner,Scheduling
227,DSA,Sorting Algorithms,87,advanced,Sorting Algorithms
228,Data Structures,Hash Table,59,intermediate,Heap
229,Python,Variables,68,intermediate,Loops
230,DSA,Arrays,83,advanced,Linked List
231,OOP,Abstraction,81,advanced,Interfaces
232,DSA,Linked List,6,beginner,Arrays
233,Java,OOP Concepts,36,beginner,Methods
234,OOP,Encapsulation,29,beginner,Polymorphism
235,OOP,Polymorphism,38,beginner,Inheritance
236,Data Structures,Hash Table,46,intermediate,Heap
237,OS,Scheduling,52,intermediate,Deadlocks
238,Python,Modules,51,intermediate,Error Handling
239,Data Structures,Linked List,43,intermediate,Stack
240,OS,Memory Management,23,beginner,Threads
241,DSA,Trees,10,beginner,Queues
242,DSA,Linked List,76,advanced,Stacks
243,AI/ML,KNN,69,intermediate,Neural Networks
244,AI/ML,Logistic Regression,97,advanced,Decision Trees
245,DSA,Stacks,47,intermediate,Queues
246,Java,OOP Concepts,34,beginner,Methods
247,Java,Exceptions,63,intermediate,Streams
248,DSA,Linked List,4,beginner,Arrays
249,Java,Variables,21,beginner,Variables
250,OS,Virtual Memory,36,beginner,Deadlocks
251,OS,File Systems,97,advanced,Scheduling
252,OOP,Polymorphism,1,beginner,Inheritance
253,AI/ML,Linear Regression,75,advanced,Logistic Regression
254,DSA,Stacks,67,intermediate,Queues
255,OS,Memory Management,95,advanced,File Systems
256,OOP,Objects,13,beginner,Classes
257,Java,Methods,54,intermediate,OOP Concepts
258,Data Structures,Stack,6,beginner,Linked List
259,OS,Processes,10,beginner,Processes
260,Data Structures,Hash Table,98,advanced,Heap
261,Data Structures,Stack,97,advanced,Queue
262,AI/ML,SVM,76,advanced,KNN
263,Python,File Handling,78,advanced,Modules
264,DSA,Queues,19,beginner,Stacks
265,DSA,Queues,41,intermediate,Trees
266,Data Structures,Hash Table,81,advanced,Heap
267,Data Structures,Linked List,12,beginner,Arrays
268,Python,File Handling,21,beginner,OOP Basics
269,Python,Modules,62,intermediate,Error Handling
270,OOP,Abstraction,4,beginner,Encapsulation
271,OOP,Inheritance,81,advanced,Polymorphism
272,OOP,Encapsulation,100,advanced,Abstraction
273,OOP,Encapsulation,27,beginner,Polymorphism
274,OS,Virtual Memory,0,beginner,Deadlocks
275,AI/ML,Decision Trees,37,beginner,Logistic Regression
276,Python,File Handling,21,beginner,OOP Basics
277,Java,Exceptions,87,advanced,Streams
278,Java,Loops,58,intermediate,Methods
279,AI/ML,Decision Trees,8,beginner,Logistic Regression
280,Data Structures,Queue,13,beginner,Stack
281,OOP,Encapsulation,65,intermediate,Abstraction
282,Java,Streams,10,beginner,Exceptions
283,Python,Error Handling,18,beginner,Modules
284,DSA,Graphs,20,beginner,Trees
285,AI/ML,SVM,73,advanced,KNN
286,OS,Memory Management,2,beginner,Threads
287,OS,File Systems,29,beginner,Memory Management
288,OS,Deadlocks,6,beginner,Scheduling
289,Python,Loops,31,beginner,Variables
290,OS,Threads,34,beginner,Processes
291,Java,OOP Concepts,3,beginner,Methods
292,Python,Error Handling,19,beginner,Modules
293,DSA,Stacks,72,advanced,Queues
294,Java,Streams,64,intermediate,Streams
295,OS,Memory Management,7,beginner,Threads
296,OS,Processes,38,beginner,Processes
297,Java,Collections,67,intermediate,Exceptions
298,Data Structures,Graph,18,beginner,Heap
299,OOP,Interfaces,54,intermediate,Interfaces
300,Python,Variables,50,intermediate,Loops
301,AI/ML,Clustering,0,beginner,Neural Networks
302,Data Structures,Graph,98,advanced,Graph
303,OOP,Encapsulation,89,advanced,Abstraction
304,Java,Loops,35,beginner,Variables
305,Data Structures,Graph,85,advanced,Graph
306,OOP,Classes,10,beginner,Classes
307,AI/ML,Linear Regression,79,advanced,Logistic Regression
308,Python,Functions,13,beginner,Loops
309,OS,Memory Management,72,advanced,File Systems
310,OOP,Classes,40,beginner,Classes
311,AI/ML,Linear Regression,98,advanced,Logistic Regression
312,AI/ML,Logistic Regression,89,advanced,Decision Trees
313,OOP,Objects,29,beginner,Classes
314,OOP,Encapsulation,73,advanced,Abstraction
315,DSA,Stacks,3,beginner,Linked List
316,DSA,Sorting Algorithms,88,advanced,Sorting Algorithms
317,DSA,Graphs,27,beginner,Trees
318,AI/ML,Logistic Regression,22,beginner,Linear Regression
319,Python,Loops,90,advanced,Functions
320,OOP,Interfaces,19,beginner,Abstraction
321,Python,Loops,90,advanced,Functions
322,OS,Scheduling,17,beginner,File Systems
323,AI/ML,Clustering,6,beginner,Neural Networks
324,Java,Methods,7,beginner,Loops
325,OS,Memory Management,36,beginner,Threads
326,Data Structures,Graph,42,intermediate,Graph
327,AI/ML,KNN,62,intermediate,Neural Networks
328,AI/ML,Linear Regression,63,intermediate,Logistic Regression
329,OS,Scheduling,100,advanced,Deadlocks
330,AI/ML,Neural Networks,16,beginner,KNN
331,Python,File Handling,68,intermediate,Modules
332,OS,Virtual Memory,51,intermediate,Virtual Memory
333,DSA,Queues,55,intermediate,Trees
334,OS,Deadlocks,6,beginner,Scheduling
335,OS,Processes,90,advanced,Threads
336,AI/ML,Clustering,68,intermediate,Clustering
337,DSA,Graphs,69,intermediate,Sorting Algorithms
338,OS,Virtual Memory,2,beginner,Deadlocks
339,OS,Scheduling,58,intermediate,Deadlocks
340,Python,Loops,88,advanced,Functions
341,OS,Virtual Memory,99,advanced,Virtual Memory
342,AI/ML,SVM,63,intermediate,KNN
343,DSA,Linked List,32,beginner,Arrays
344,Java,Methods,29,beginner,Loops
345,Data Structures,Graph,40,beginner,Heap
346,OOP,Inheritance,95,advanced,Polymorphism
347,AI/ML,Logistic Regression,36,beginner,Linear Regression
348,Data Structures,Graph,5,beginner,Heap
349,DSA,Trees,51,intermediate,Graphs
350,Data Structures,Linked List,25,beginner,Arrays
351,AI/ML,Linear Regression,68,intermediate,Logistic Regression
352,OOP,Inheritance,50,intermediate,Polymorphism
353,OS,Threads,37,beginner,Processes
354,Data Structures,Hash Table,92,advanced,Heap
355,Data Structures,Graph,61,intermediate,Graph
356,OS,Memory Management,66,intermediate,File Systems
357,DSA,Trees,93,advanced,Graphs
358,Python,Functions,71,advanced,OOP Basics
359,OS,Scheduling,76,advanced,Deadlocks
360,OS,Deadlocks,82,advanced,Virtual Memory
361,AI/ML,SVM,80,advanced,KNN
362,OOP,Encapsulation,76,advanced,Abstraction
363,DSA,Arrays,57,intermediate,Linked List
364,Java,Streams,8,beginner,Exceptions
365,AI/ML,SVM,52,intermediate,KNN
366,Java,Streams,30,beginner,Exceptions
367,Java,Collections,97,advanced,Exceptions
368,Data Structures,Graph,35,beginner,Heap
369,Python,Error Handling,29,beginner,Modules
370,AI/ML,Logistic Regression,66,intermediate,Decision Trees
371,Python,OOP Basics,99,advanced,File Handling
372,OOP,Objects,19,beginner,Classes
373,Java,Methods,98,advanced,OOP Concepts
374,Data Structures,Arrays,1,beginner,Arrays
375,OOP,Inheritance,95,advanced,Polymorphism
376,AI/ML,Clustering,75,advanced,Clustering
377,Java,OOP Concepts,55,intermediate,Collections
378,Java,Collections,27,beginner,OOP Concepts
379,Java,OOP Concepts,86,advanced,Collections
380,Data Structures,Queue,49,intermediate,Hash Table
381,DSA,Arrays,54,intermediate,Linked List
382,DSA,Linked List,94,advanced,Stacks
383,OOP,Objects,13,beginner,Classes
384,OS,Processes,58,intermediate,Threads
385,AI/ML,Neural Networks,26,beginner,KNN
386,Java,Loops,24,beginner,Variables
387,OS,Scheduling,90,advanced,Deadlocks
388,AI/ML,Decision Trees,84,advanced,SVM
389,Data Structures,Queue,38,beginner,Stack
390,OS,Virtual Memory,75,advanced,Virtual Memory
391,Python,Functions,40,beginner,Loops
392,AI/ML,SVM,49,intermediate,KNN
393,Python,Loops,71,advanced,Functions
394,OOP,Encapsulation,68,intermediate,Abstraction
395,OS,Processes,47,intermediate,Threads
396,OOP,Interfaces,31,beginner,Abstraction
397,OS,Processes,20,beginner,Processes
398,AI/ML,Decision Trees,75,advanced,SVM
399,OS,Deadlocks,36,beginner,Scheduling
400,Java,Collections,31,beginner,OOP Concepts
401,Java,Collections,94,advanced,Exceptions
402,Java,Collections,26,beginner,OOP Concepts
403,AI/ML,SVM,44,intermediate,KNN
404,Java,Exceptions,55,intermediate,Streams
405,Data Structures,Linked List,66,intermediate,Stack
406,DSA,Linked List,95,advanced,Stacks
407,Java,Loops,50,intermediate,Methods
408,AI/ML,Clustering,29,beginner,Neural Networks
409,DSA,Stacks,32,beginner,Linked List
410,AI/ML,Neural Networks,10,beginner,KNN
411,Python,Modules,10,beginner,File Handling
412,DSA,Sorting Algorithms,3,beginner,Graphs
413,DSA,Graphs,93,advanced,Sorting Algorithms
414,AI/ML,Decision Trees,85,advanced,SVM
415,OOP,Abstraction,69,intermediate,Interfaces
416,Data Structures,Graph,82,advanced,Graph
417,Data Structures,Arrays,26,beginner,Arrays
418,OOP,Abstraction,37,beginner,Encapsulation
419,OOP,Objects,84,advanced,Inheritance
420,Data Structures,Stack,44,intermediate,Queue
421,AI/ML,Clustering,35,beginner,Neural Networks
422,OOP,Abstraction,40,beginner,Encapsulation
423,Data Structures,Arrays,3,beginner,Arrays
424,AI/ML,SVM,20,beginner,Decision Trees
425,DSA,Arrays,88,advanced,Linked List
426,OS,Deadlocks,35,beginner,Scheduling
427,Python,OOP Basics,52,intermediate,File Handling
428,OS,Scheduling,14,beginner,File Systems
429,OOP,Abstraction,39,beginner,Encapsulation
430,OOP,Abstraction,80,advanced,Interfaces
431,AI/ML,Linear Regression,23,beginner,Linear Regression
432,DSA,Sorting Algorithms,39,beginner,Graphs
433,Java,Variables,8,beginner,Variables
434,Python,Loops,21,beginner,Variables
435,OOP,Inheritance,76,advanced,Polymorphism
436,Java,Streams,94,advanced,Streams
437,OOP,Classes,41,intermediate,Objects
438,AI/ML,Linear Regression,7,beginner,Linear Regression
439,Data Structures,Arrays,2,beginner,Arrays
440,AI/ML,KNN,79,advanced,Neural Networks
441,DSA,Sorting Algorithms,89,advanced,Sorting Algorithms
442,Java,OOP Concepts,96,advanced,Collections
443,Java,Variables,83,advanced,Loops
444,Java,Loops,29,beginner,Variables
445,Data Structures,Arrays,55,intermediate,Linked List
446,OOP,Classes,46,intermediate,Objects
447,OS,File Systems,35,beginner,Memory Management
448,OS,Processes,20,beginner,Processes
449,OS,File Systems,22,beginner,Memory Management
450,Python,Variables,58,intermediate,Loops
451,OOP,Abstraction,99,advanced,Interfaces
452,Java,Methods,88,advanced,OOP Concepts
453,Data Structures,Hash Table,40,beginner,Queue
454,Python,Loops,59,intermediate,Functions
455,Data Structures,Queue,19,beginner,Stack
456,Python,Loops,17,beginner,Variables
457,AI/ML,Neural Networks,54,intermediate,Clustering
458,DSA,Sorting Algorithms,93,advanced,Sorting Algorithms
459,Java,Loops,32,beginner,Variables
460,DSA,Queues,38,beginner,Stacks
461,AI/ML,Linear Regression,39,beginner,Linear Regression
462,OOP,Classes,45,intermediate,Objects
463,Python,Variables,68,intermediate,Loops
464,Java,Loops,16,beginner,Variables
465,DSA,Queues,33,beginner,Stacks
466,AI/ML,Logistic Regression,8,beginner,Linear Regression
467,OS,Deadlocks,2,beginner,Scheduling
468,Java,Methods,68,intermediate,OOP Concepts
469,Python,File Handling,54,intermediate,Modules
470,Java,Streams,2,beginner,Exceptions
471,OS,Virtual Memory,72,advanced,Virtual Memory
472,OS,Virtual Memory,75,advanced,Virtual Memory
473,AI/ML,SVM,60,intermediate,KNN
474,DSA,Sorting Algorithms,43,intermediate,Sorting Algorithms
475,OOP,Encapsulation,37,beginner,Polymorphism
476,Java,OOP Concepts,43,intermediate,Collections
477,Java,Exceptions,31,beginner,Collections
478,Java,Exceptions,93,advanced,Streams
479,DSA,Sorting Algorithms,97,advanced,Sorting Algorithms
480,Python,Modules,69,intermediate,Error Handling
481,DSA,Arrays,22,beginner,Arrays
482,OOP,Interfaces,29,beginner,Abstraction
483,AI/ML,Decision Trees,65,intermediate,SVM
484,OOP,Polymorphism,55,intermediate,Encapsulation
485,AI/ML,Logistic Regression,17,beginner,Linear Regression
486,Java,Methods,30,beginner,Loops
487,DSA,Queues,29,beginner,Stacks
488,Java,Methods,16,beginner,Loops
489,OOP,Objects,47,intermediate,Inheritance
490,Python,Variables,74,advanced,Loops
491,AI/ML,Decision Trees,4,beginner,Logistic Regression
492,DSA,Queues,77,advanced,Trees
493,AI/ML,Logistic Regression,97,advanced,Decision Trees
494,DSA,Linked List,8,beginner,Arrays
495,OOP,Objects,60,intermediate,Inheritance
496,Python,File Handling,53,intermediate,Modules
497,Python,OOP Basics,41,intermediate,File Handling
498,OOP,Classes,27,beginner,Classes
499,Data Structures,Graph,25,beginner,Heap
500,OOP,Inheritance,7,beginner,Objects
501,DSA,Linked List,88,advanced,Stacks
502,Java,Collections,83,advanced,Exceptions
503,Java,Streams,7,beginner,Exceptions
